"Type","Location","Count","Quarter","Year","Value","Time_Number","Time_String"
"Mental health-related presentations","South Australia","Number","1","2016",5868,2016,"Q1 2016"
"Mental health-related presentations","South Australia","Number","1","2017",6274,2017,"Q1 2017"
"Mental health-related presentations","South Australia","Number","1","2018",6235,2018,"Q1 2018"
"Mental health-related presentations","South Australia","Number","1","2019",6898,2019,"Q1 2019"
"Mental health-related presentations","South Australia","Number","1","2020",6878,2020,"Q1 2020"
"Mental health-related presentations","South Australia","Number","1","2021",5505,2021,"Q1 2021"
"Mental health-related presentations","South Australia","Number","2","2014",5262,2014.25,"Q2 2014"
"Mental health-related presentations","South Australia","Number","2","2015",5728,2015.25,"Q2 2015"
"Mental health-related presentations","South Australia","Number","2","2016",5811,2016.25,"Q2 2016"
"Mental health-related presentations","South Australia","Number","2","2017",5884,2017.25,"Q2 2017"
"Mental health-related presentations","South Australia","Number","2","2018",5892,2018.25,"Q2 2018"
"Mental health-related presentations","South Australia","Number","2","2019",6755,2019.25,"Q2 2019"
"Mental health-related presentations","South Australia","Number","2","2020",6263,2020.25,"Q2 2020"
"Mental health-related presentations","South Australia","Number","2","2021",5112,2021.25,"Q2 2021"
"Mental health-related presentations","South Australia","Per cent","3","2014",24,2014.5,"Q3 2014"
"Mental health-related presentations","South Australia","Per cent","3","2015",23,2015.5,"Q3 2015"
"Mental health-related presentations","South Australia","Per cent","3","2016",25,2016.5,"Q3 2016"
"Mental health-related presentations","South Australia","Per cent","3","2017",25,2017.5,"Q3 2017"
"Mental health-related presentations","South Australia","Per cent","3","2018",24,2018.5,"Q3 2018"
"Mental health-related presentations","South Australia","Per cent","3","2019",25,2019.5,"Q3 2019"
"Mental health-related presentations","South Australia","Per cent","3","2020",27,2020.5,"Q3 2020"
"Mental health-related presentations","South Australia","Per cent","3","2021",27,2021.5,"Q3 2021"
"Mental health-related presentations","South Australia","Per cent","4","2014",26,2014.75,"Q4 2014"
"Mental health-related presentations","South Australia","Per cent","4","2015",25,2015.75,"Q4 2015"
"Mental health-related presentations","South Australia","Per cent","4","2016",25,2016.75,"Q4 2016"
"Mental health-related presentations","South Australia","Per cent","4","2017",25,2017.75,"Q4 2017"
"Mental health-related presentations","South Australia","Per cent","4","2018",25,2018.75,"Q4 2018"
"Mental health-related presentations","South Australia","Per cent","4","2019",24,2019.75,"Q4 2019"
"Mental health-related presentations","South Australia","Per cent","4","2020",26,2020.75,"Q4 2020"
"Mental health-related presentations","South Australia","Per cent","4","2021",25,2021.75,"Q4 2021"
"Mental health-related presentations","South Australia","Per cent","1","2014",26,2014,"Q1 2014"
"Mental health-related presentations","South Australia","Per cent","1","2015",27,2015,"Q1 2015"
"Mental health-related presentations","South Australia","Per cent","1","2016",25,2016,"Q1 2016"
"Mental health-related presentations","South Australia","Per cent","1","2017",26,2017,"Q1 2017"
"Mental health-related presentations","South Australia","Per cent","1","2018",26,2018,"Q1 2018"
"Mental health-related presentations","South Australia","Per cent","1","2019",26,2019,"Q1 2019"
"Mental health-related presentations","South Australia","Per cent","1","2020",25,2020,"Q1 2020"
"Mental health-related presentations","South Australia","Per cent","1","2021",25,2021,"Q1 2021"
"Mental health-related presentations","South Australia","Per cent","2","2014",25,2014.25,"Q2 2014"
"Mental health-related presentations","South Australia","Per cent","2","2015",25,2015.25,"Q2 2015"
"Mental health-related presentations","South Australia","Per cent","2","2016",25,2016.25,"Q2 2016"
"Mental health-related presentations","South Australia","Per cent","2","2017",24,2017.25,"Q2 2017"
"Mental health-related presentations","South Australia","Per cent","2","2018",25,2018.25,"Q2 2018"
"Mental health-related presentations","South Australia","Per cent","2","2019",25,2019.25,"Q2 2019"
"Mental health-related presentations","South Australia","Per cent","2","2020",23,2020.25,"Q2 2020"
"Mental health-related presentations","South Australia","Per cent","2","2021",23,2021.25,"Q2 2021"
"Mental health-related presentations","Tasmania","Number","3","2014",1338,2014.5,"Q3 2014"
"Mental health-related presentations","Tasmania","Number","3","2015",1347,2015.5,"Q3 2015"
"Mental health-related presentations","Tasmania","Number","3","2016",1614,2016.5,"Q3 2016"
"Mental health-related presentations","Tasmania","Number","3","2017",1453,2017.5,"Q3 2017"
"Mental health-related presentations","Tasmania","Number","3","2018",1515,2018.5,"Q3 2018"
"Mental health-related presentations","Tasmania","Number","3","2019",1584,2019.5,"Q3 2019"
"Mental health-related presentations","Tasmania","Number","3","2020",1609,2020.5,"Q3 2020"
"Mental health-related presentations","Tasmania","Number","3","2021",1489,2021.5,"Q3 2021"
"Mental health-related presentations","Tasmania","Number","4","2014",1402,2014.75,"Q4 2014"
"Mental health-related presentations","Tasmania","Number","4","2015",1494,2015.75,"Q4 2015"
"Mental health-related presentations","Tasmania","Number","4","2016",1556,2016.75,"Q4 2016"
"Mental health-related presentations","Tasmania","Number","4","2017",1508,2017.75,"Q4 2017"
"Mental health-related presentations","Tasmania","Number","4","2018",1488,2018.75,"Q4 2018"
"Mental health-related presentations","Tasmania","Number","4","2019",1524,2019.75,"Q4 2019"
"Mental health-related presentations","Tasmania","Number","4","2020",1531,2020.75,"Q4 2020"
"Mental health-related presentations","Tasmania","Number","4","2021",1445,2021.75,"Q4 2021"
"Mental health-related presentations","Tasmania","Number","1","2014",1388,2014,"Q1 2014"
"Mental health-related presentations","Tasmania","Number","1","2015",1570,2015,"Q1 2015"
"Mental health-related presentations","Tasmania","Number","1","2016",1487,2016,"Q1 2016"
"Mental health-related presentations","Tasmania","Number","1","2017",1499,2017,"Q1 2017"
"Mental health-related presentations","Tasmania","Number","1","2018",1409,2018,"Q1 2018"
"Mental health-related presentations","Tasmania","Number","1","2019",1575,2019,"Q1 2019"
"Mental health-related presentations","Tasmania","Number","1","2020",1516,2020,"Q1 2020"
"Mental health-related presentations","Tasmania","Number","1","2021",1489,2021,"Q1 2021"
"Mental health-related presentations","Tasmania","Number","2","2014",1356,2014.25,"Q2 2014"
"Mental health-related presentations","Tasmania","Number","2","2015",1511,2015.25,"Q2 2015"
"Mental health-related presentations","Tasmania","Number","2","2016",1465,2016.25,"Q2 2016"
"Mental health-related presentations","Tasmania","Number","2","2017",1357,2017.25,"Q2 2017"
"Mental health-related presentations","Tasmania","Number","2","2018",1497,2018.25,"Q2 2018"
"Mental health-related presentations","Tasmania","Number","2","2019",1405,2019.25,"Q2 2019"
"Mental health-related presentations","Tasmania","Number","2","2020",1466,2020.25,"Q2 2020"
"Mental health-related presentations","Tasmania","Number","2","2021",1401,2021.25,"Q2 2021"
"Mental health-related presentations","Tasmania","Per cent","3","2014",24,2014.5,"Q3 2014"
"Mental health-related presentations","Tasmania","Per cent","3","2015",23,2015.5,"Q3 2015"
"Mental health-related presentations","Tasmania","Per cent","3","2016",26,2016.5,"Q3 2016"
"Mental health-related presentations","Tasmania","Per cent","3","2017",25,2017.5,"Q3 2017"
"Mental health-related presentations","Tasmania","Per cent","3","2018",26,2018.5,"Q3 2018"
"Mental health-related presentations","Tasmania","Per cent","3","2019",26,2019.5,"Q3 2019"
"Mental health-related presentations","Tasmania","Per cent","3","2020",26,2020.5,"Q3 2020"
"Mental health-related presentations","Tasmania","Per cent","3","2021",26,2021.5,"Q3 2021"
"Mental health-related presentations","Tasmania","Per cent","4","2014",26,2014.75,"Q4 2014"
"Mental health-related presentations","Tasmania","Per cent","4","2015",25,2015.75,"Q4 2015"
"Mental health-related presentations","Tasmania","Per cent","4","2016",25,2016.75,"Q4 2016"
"Mental health-related presentations","Tasmania","Per cent","4","2017",26,2017.75,"Q4 2017"
"Mental health-related presentations","Tasmania","Per cent","4","2018",25,2018.75,"Q4 2018"
"Mental health-related presentations","Tasmania","Per cent","4","2019",25,2019.75,"Q4 2019"
"Mental health-related presentations","Tasmania","Per cent","4","2020",25,2020.75,"Q4 2020"
"Mental health-related presentations","Tasmania","Per cent","4","2021",25,2021.75,"Q4 2021"
"Mental health-related presentations","Tasmania","Per cent","1","2014",25,2014,"Q1 2014"
"Mental health-related presentations","Tasmania","Per cent","1","2015",27,2015,"Q1 2015"
"Mental health-related presentations","Tasmania","Per cent","1","2016",24,2016,"Q1 2016"
"Mental health-related presentations","Tasmania","Per cent","1","2017",26,2017,"Q1 2017"
"Mental health-related presentations","Tasmania","Per cent","1","2018",24,2018,"Q1 2018"
"Mental health-related presentations","Tasmania","Per cent","1","2019",26,2019,"Q1 2019"
"Mental health-related presentations","Tasmania","Per cent","1","2020",25,2020,"Q1 2020"
"Mental health-related presentations","Tasmania","Per cent","1","2021",26,2021,"Q1 2021"
"Mental health-related presentations","Tasmania","Per cent","2","2014",25,2014.25,"Q2 2014"
"Mental health-related presentations","Tasmania","Per cent","2","2015",26,2015.25,"Q2 2015"
"Mental health-related presentations","Tasmania","Per cent","2","2016",24,2016.25,"Q2 2016"
"Mental health-related presentations","Tasmania","Per cent","2","2017",23,2017.25,"Q2 2017"
"Mental health-related presentations","Tasmania","Per cent","2","2018",25,2018.25,"Q2 2018"
"Mental health-related presentations","Tasmania","Per cent","2","2019",23,2019.25,"Q2 2019"
"Mental health-related presentations","Tasmania","Per cent","2","2020",24,2020.25,"Q2 2020"
"Mental health-related presentations","Tasmania","Per cent","2","2021",24,2021.25,"Q2 2021"
"Mental health-related presentations","Australian Capital Territory","Number","3","2014",931,2014.5,"Q3 2014"
"Mental health-related presentations","Australian Capital Territory","Number","3","2015",965,2015.5,"Q3 2015"
"Mental health-related presentations","Australian Capital Territory","Number","3","2016",1161,2016.5,"Q3 2016"
"Mental health-related presentations","Australian Capital Territory","Number","3","2017",1081,2017.5,"Q3 2017"
"Mental health-related presentations","Australian Capital Territory","Number","3","2018",1107,2018.5,"Q3 2018"
"Mental health-related presentations","Australian Capital Territory","Number","3","2019",1204,2019.5,"Q3 2019"
"Mental health-related presentations","Australian Capital Territory","Number","3","2020",1427,2020.5,"Q3 2020"
"Mental health-related presentations","Australian Capital Territory","Number","3","2021",1162,2021.5,"Q3 2021"
"Mental health-related presentations","Australian Capital Territory","Number","4","2014",1040,2014.75,"Q4 2014"
"Mental health-related presentations","Australian Capital Territory","Number","4","2015",1071,2015.75,"Q4 2015"
"Mental health-related presentations","Australian Capital Territory","Number","4","2016",1232,2016.75,"Q4 2016"
"Mental health-related presentations","Australian Capital Territory","Number","4","2017",1222,2017.75,"Q4 2017"
"Mental health-related presentations","Australian Capital Territory","Number","4","2018",1215,2018.75,"Q4 2018"
"Mental health-related presentations","Australian Capital Territory","Number","4","2019",1465,2019.75,"Q4 2019"
"Mental health-related presentations","Australian Capital Territory","Number","4","2020",1350,2020.75,"Q4 2020"
"Mental health-related presentations","Australian Capital Territory","Number","4","2021",1229,2021.75,"Q4 2021"
"Mental health-related presentations","Australian Capital Territory","Number","1","2014",980,2014,"Q1 2014"
"Mental health-related presentations","Australian Capital Territory","Number","1","2015",1087,2015,"Q1 2015"
"Mental health-related presentations","Australian Capital Territory","Number","1","2016",1211,2016,"Q1 2016"
"Mental health-related presentations","Australian Capital Territory","Number","1","2017",1169,2017,"Q1 2017"
"Mental health-related presentations","Australian Capital Territory","Number","1","2018",1146,2018,"Q1 2018"
"Mental health-related presentations","Australian Capital Territory","Number","1","2019",1338,2019,"Q1 2019"
"Mental health-related presentations","Australian Capital Territory","Number","1","2020",1300,2020,"Q1 2020"
"Mental health-related presentations","Australian Capital Territory","Number","1","2021",1209,2021,"Q1 2021"
"Mental health-related presentations","Australian Capital Territory","Number","2","2014",1007,2014.25,"Q2 2014"
"Mental health-related presentations","Australian Capital Territory","Number","2","2015",1115,2015.25,"Q2 2015"
"Mental health-related presentations","Australian Capital Territory","Number","2","2016",1139,2016.25,"Q2 2016"
"Mental health-related presentations","Australian Capital Territory","Number","2","2017",1154,2017.25,"Q2 2017"
"Mental health-related presentations","Australian Capital Territory","Number","2","2018",1182,2018.25,"Q2 2018"
"Mental health-related presentations","Australian Capital Territory","Number","2","2019",1276,2019.25,"Q2 2019"
"Mental health-related presentations","Australian Capital Territory","Number","2","2020",1334,2020.25,"Q2 2020"
"Mental health-related presentations","Australian Capital Territory","Number","2","2021",1063,2021.25,"Q2 2021"
"Mental health-related presentations","Australian Capital Territory","Per cent","3","2014",24,2014.5,"Q3 2014"
"Mental health-related presentations","Australian Capital Territory","Per cent","3","2015",23,2015.5,"Q3 2015"
"Mental health-related presentations","Australian Capital Territory","Per cent","3","2016",24,2016.5,"Q3 2016"
"Mental health-related presentations","Australian Capital Territory","Per cent","3","2017",23,2017.5,"Q3 2017"
"Mental health-related presentations","Australian Capital Territory","Per cent","3","2018",24,2018.5,"Q3 2018"
"Mental health-related presentations","Australian Capital Territory","Per cent","3","2019",23,2019.5,"Q3 2019"
"Mental health-related presentations","Australian Capital Territory","Per cent","3","2020",26,2020.5,"Q3 2020"
"Mental health-related presentations","Australian Capital Territory","Per cent","3","2021",25,2021.5,"Q3 2021"
"Mental health-related presentations","Australian Capital Territory","Per cent","4","2014",26,2014.75,"Q4 2014"
"Mental health-related presentations","Australian Capital Territory","Per cent","4","2015",25,2015.75,"Q4 2015"
"Mental health-related presentations","Australian Capital Territory","Per cent","4","2016",26,2016.75,"Q4 2016"
"Mental health-related presentations","Australian Capital Territory","Per cent","4","2017",26,2017.75,"Q4 2017"
"Mental health-related presentations","Australian Capital Territory","Per cent","4","2018",26,2018.75,"Q4 2018"
"Mental health-related presentations","Australian Capital Territory","Per cent","4","2019",28,2019.75,"Q4 2019"
"Mental health-related presentations","Australian Capital Territory","Per cent","4","2020",25,2020.75,"Q4 2020"
"Mental health-related presentations","Australian Capital Territory","Per cent","4","2021",26,2021.75,"Q4 2021"
"Mental health-related presentations","Australian Capital Territory","Per cent","1","2014",25,2014,"Q1 2014"
"Mental health-related presentations","Australian Capital Territory","Per cent","1","2015",26,2015,"Q1 2015"
"Mental health-related presentations","Australian Capital Territory","Per cent","1","2016",26,2016,"Q1 2016"
"Mental health-related presentations","Australian Capital Territory","Per cent","1","2017",25,2017,"Q1 2017"
"Mental health-related presentations","Australian Capital Territory","Per cent","1","2018",25,2018,"Q1 2018"
"Mental health-related presentations","Australian Capital Territory","Per cent","1","2019",25,2019,"Q1 2019"
"Mental health-related presentations","Australian Capital Territory","Per cent","1","2020",24,2020,"Q1 2020"
"Mental health-related presentations","Australian Capital Territory","Per cent","1","2021",26,2021,"Q1 2021"
"Mental health-related presentations","Australian Capital Territory","Per cent","2","2014",25,2014.25,"Q2 2014"
"Mental health-related presentations","Australian Capital Territory","Per cent","2","2015",26,2015.25,"Q2 2015"
"Mental health-related presentations","Australian Capital Territory","Per cent","2","2016",24,2016.25,"Q2 2016"
"Mental health-related presentations","Australian Capital Territory","Per cent","2","2017",25,2017.25,"Q2 2017"
"Mental health-related presentations","Australian Capital Territory","Per cent","2","2018",25,2018.25,"Q2 2018"
"Mental health-related presentations","Australian Capital Territory","Per cent","2","2019",24,2019.25,"Q2 2019"
"Mental health-related presentations","Australian Capital Territory","Per cent","2","2020",25,2020.25,"Q2 2020"
"Mental health-related presentations","Australian Capital Territory","Per cent","2","2021",23,2021.25,"Q2 2021"
"Mental health-related presentations","Northern Territory","Number","3","2014",1355,2014.5,"Q3 2014"
"Mental health-related presentations","Northern Territory","Number","3","2015",1725,2015.5,"Q3 2015"
"Mental health-related presentations","Northern Territory","Number","3","2016",1611,2016.5,"Q3 2016"
"Mental health-related presentations","Northern Territory","Number","3","2017",1548,2017.5,"Q3 2017"
"Mental health-related presentations","Northern Territory","Number","3","2018",1724,2018.5,"Q3 2018"
"Mental health-related presentations","Northern Territory","Number","3","2019",1606,2019.5,"Q3 2019"
"Mental health-related presentations","Northern Territory","Number","3","2020",1969,2020.5,"Q3 2020"
"Mental health-related presentations","Northern Territory","Number","3","2021",1909,2021.5,"Q3 2021"
"Mental health-related presentations","Northern Territory","Number","4","2014",1660,2014.75,"Q4 2014"
"Mental health-related presentations","Northern Territory","Number","4","2015",1763,2015.75,"Q4 2015"
"Mental health-related presentations","Northern Territory","Number","4","2016",1719,2016.75,"Q4 2016"
"Mental health-related presentations","Northern Territory","Number","4","2017",1736,2017.75,"Q4 2017"
"Mental health-related presentations","Northern Territory","Number","4","2018",1703,2018.75,"Q4 2018"
"Mental health-related presentations","Northern Territory","Number","4","2019",1901,2019.75,"Q4 2019"
"Mental health-related presentations","Northern Territory","Number","4","2020",2005,2020.75,"Q4 2020"
"Mental health-related presentations","Northern Territory","Number","4","2021",2034,2021.75,"Q4 2021"
"Mental health-related presentations","Northern Territory","Number","1","2014",1581,2014,"Q1 2014"
"Mental health-related presentations","Northern Territory","Number","1","2015",1553,2015,"Q1 2015"
"Mental health-related presentations","Northern Territory","Number","1","2016",1653,2016,"Q1 2016"
"Mental health-related presentations","Northern Territory","Number","1","2017",1883,2017,"Q1 2017"
"Mental health-related presentations","Northern Territory","Number","1","2018",1687,2018,"Q1 2018"
"Mental health-related presentations","Northern Territory","Number","1","2019",1884,2019,"Q1 2019"
"Mental health-related presentations","Northern Territory","Number","1","2020",1794,2020,"Q1 2020"
"Mental health-related presentations","Northern Territory","Number","1","2021",1548,2021,"Q1 2021"
"Mental health-related presentations","Northern Territory","Number","2","2014",1468,2014.25,"Q2 2014"
"Mental health-related presentations","Northern Territory","Number","2","2015",1445,2015.25,"Q2 2015"
"Mental health-related presentations","Northern Territory","Number","2","2016",1557,2016.25,"Q2 2016"
"Mental health-related presentations","Northern Territory","Number","2","2017",1752,2017.25,"Q2 2017"
"Mental health-related presentations","Northern Territory","Number","2","2018",1572,2018.25,"Q2 2018"
"Mental health-related presentations","Northern Territory","Number","2","2019",1598,2019.25,"Q2 2019"
"Mental health-related presentations","Northern Territory","Number","2","2020",1783,2020.25,"Q2 2020"
"Mental health-related presentations","Northern Territory","Number","2","2021",1529,2021.25,"Q2 2021"
"Mental health-related presentations","Northern Territory","Per cent","3","2014",22,2014.5,"Q3 2014"
"Mental health-related presentations","Northern Territory","Per cent","3","2015",27,2015.5,"Q3 2015"
"Mental health-related presentations","Northern Territory","Per cent","3","2016",25,2016.5,"Q3 2016"
"Mental health-related presentations","Northern Territory","Per cent","3","2017",22,2017.5,"Q3 2017"
"Mental health-related presentations","Northern Territory","Per cent","3","2018",26,2018.5,"Q3 2018"
"Mental health-related presentations","Northern Territory","Per cent","3","2019",23,2019.5,"Q3 2019"
"Mental health-related presentations","Northern Territory","Per cent","3","2020",26,2020.5,"Q3 2020"
"Mental health-related presentations","Northern Territory","Per cent","3","2021",27,2021.5,"Q3 2021"
"Mental health-related presentations","Northern Territory","Per cent","4","2014",27,2014.75,"Q4 2014"
"Mental health-related presentations","Northern Territory","Per cent","4","2015",27,2015.75,"Q4 2015"
"Mental health-related presentations","Northern Territory","Per cent","4","2016",26,2016.75,"Q4 2016"
"Mental health-related presentations","Northern Territory","Per cent","4","2017",25,2017.75,"Q4 2017"
"Mental health-related presentations","Northern Territory","Per cent","4","2018",25,2018.75,"Q4 2018"
"Mental health-related presentations","Northern Territory","Per cent","4","2019",27,2019.75,"Q4 2019"
"Mental health-related presentations","Northern Territory","Per cent","4","2020",27,2020.75,"Q4 2020"
"Mental health-related presentations","Northern Territory","Per cent","4","2021",29,2021.75,"Q4 2021"
"Mental health-related presentations","Northern Territory","Per cent","1","2014",26,2014,"Q1 2014"
"Mental health-related presentations","Northern Territory","Per cent","1","2015",24,2015,"Q1 2015"
"Mental health-related presentations","Northern Territory","Per cent","1","2016",25,2016,"Q1 2016"
"Mental health-related presentations","Northern Territory","Per cent","1","2017",27,2017,"Q1 2017"
"Mental health-related presentations","Northern Territory","Per cent","1","2018",25,2018,"Q1 2018"
"Mental health-related presentations","Northern Territory","Per cent","1","2019",27,2019,"Q1 2019"
"Mental health-related presentations","Northern Territory","Per cent","1","2020",24,2020,"Q1 2020"
"Mental health-related presentations","Northern Territory","Per cent","1","2021",22,2021,"Q1 2021"
"Mental health-related presentations","Northern Territory","Per cent","2","2014",24,2014.25,"Q2 2014"
"Mental health-related presentations","Northern Territory","Per cent","2","2015",22,2015.25,"Q2 2015"
"Mental health-related presentations","Northern Territory","Per cent","2","2016",24,2016.25,"Q2 2016"
"Mental health-related presentations","Northern Territory","Per cent","2","2017",25,2017.25,"Q2 2017"
"Mental health-related presentations","Northern Territory","Per cent","2","2018",24,2018.25,"Q2 2018"
"Mental health-related presentations","Northern Territory","Per cent","2","2019",23,2019.25,"Q2 2019"
"Mental health-related presentations","Northern Territory","Per cent","2","2020",24,2020.25,"Q2 2020"
"Mental health-related presentations","Northern Territory","Per cent","2","2021",22,2021.25,"Q2 2021"
"Total emergency department presentations","Australia","Number","3","2014",1829376,2014.5,"Q3 2014"
"Total emergency department presentations","Australia","Number","3","2015",1887621,2015.5,"Q3 2015"
"Total emergency department presentations","Australia","Number","3","2016",1904317,2016.5,"Q3 2016"
"Total emergency department presentations","Australia","Number","3","2017",2049256,2017.5,"Q3 2017"
"Total emergency department presentations","Australia","Number","3","2018",2029046,2018.5,"Q3 2018"
"Total emergency department presentations","Australia","Number","3","2019",2163596,2019.5,"Q3 2019"
"Total emergency department presentations","Australia","Number","3","2020",2031954,2020.5,"Q3 2020"
"Total emergency department presentations","Australia","Number","3","2021",2182731,2021.5,"Q3 2021"
"Total emergency department presentations","Australia","Number","4","2014",1872039,2014.75,"Q4 2014"
"Total emergency department presentations","Australia","Number","4","2015",1910170,2015.75,"Q4 2015"
"Total emergency department presentations","Australia","Number","4","2016",1972006,2016.75,"Q4 2016"
"Total emergency department presentations","Australia","Number","4","2017",2024210,2017.75,"Q4 2017"
"Total emergency department presentations","Australia","Number","4","2018",2100493,2018.75,"Q4 2018"
"Total emergency department presentations","Australia","Number","4","2019",2175556,2019.75,"Q4 2019"
"Total emergency department presentations","Australia","Number","4","2020",2238656,2020.75,"Q4 2020"
"Total emergency department presentations","Australia","Number","4","2021",2259736,2021.75,"Q4 2021"
"Total emergency department presentations","Australia","Number","1","2014",1844641,2014,"Q1 2014"
"Total emergency department presentations","Australia","Number","1","2015",1927519,2015,"Q1 2015"
"Total emergency department presentations","Australia","Number","1","2016",1942512,2016,"Q1 2016"
"Total emergency department presentations","Australia","Number","1","2017",1984020,2017,"Q1 2017"
"Total emergency department presentations","Australia","Number","1","2018",2100183,2018,"Q1 2018"
"Total emergency department presentations","Australia","Number","1","2019",2145235,2019,"Q1 2019"
"Total emergency department presentations","Australia","Number","1","2020",2250811,2020,"Q1 2020"
"Total emergency department presentations","Australia","Number","1","2021",2119460,2021,"Q1 2021"
"Total emergency department presentations","Australia","Number","2","2014",1820386,2014.25,"Q2 2014"
"Total emergency department presentations","Australia","Number","2","2015",1875907,2015.25,"Q2 2015"
"Total emergency department presentations","Australia","Number","2","2016",1936771,2016.25,"Q2 2016"
"Total emergency department presentations","Australia","Number","2","2017",1960006,2017.25,"Q2 2017"
"Total emergency department presentations","Australia","Number","2","2018",2122470,2018.25,"Q2 2018"
"Total emergency department presentations","Australia","Number","2","2019",1751772,2019.25,"Q2 2019"
"Total emergency department presentations","Australia","Number","2","2020",2286936,2020.25,"Q2 2020"
"Total emergency department presentations","Australia","Number","2","2021",2227950,2021.25,"Q2 2021"
"Total emergency department presentations","Australia","Per cent","3","2014",25,2014.5,"Q3 2014"
"Total emergency department presentations","Australia","Per cent","3","2015",25,2015.5,"Q3 2015"
"Total emergency department presentations","Australia","Per cent","3","2016",25,2016.5,"Q3 2016"
"Total emergency department presentations","Australia","Per cent","3","2017",26,2017.5,"Q3 2017"
"Total emergency department presentations","Australia","Per cent","3","2018",24,2018.5,"Q3 2018"
"Total emergency department presentations","Australia","Per cent","3","2019",26,2019.5,"Q3 2019"
"Total emergency department presentations","Australia","Per cent","3","2020",23,2020.5,"Q3 2020"
"Total emergency department presentations","Australia","Per cent","3","2021",25,2021.5,"Q3 2021"
"Total emergency department presentations","Australia","Per cent","4","2014",25,2014.75,"Q4 2014"
"Total emergency department presentations","Australia","Per cent","4","2015",25,2015.75,"Q4 2015"
"Total emergency department presentations","Australia","Per cent","4","2016",25,2016.75,"Q4 2016"
"Total emergency department presentations","Australia","Per cent","4","2017",25,2017.75,"Q4 2017"
"Total emergency department presentations","Australia","Per cent","4","2018",25,2018.75,"Q4 2018"
"Total emergency department presentations","Australia","Per cent","4","2019",26,2019.75,"Q4 2019"
"Total emergency department presentations","Australia","Per cent","4","2020",25,2020.75,"Q4 2020"
"Total emergency department presentations","Australia","Per cent","4","2021",26,2021.75,"Q4 2021"
"Total emergency department presentations","Australia","Per cent","1","2014",25,2014,"Q1 2014"
"Total emergency department presentations","Australia","Per cent","1","2015",25,2015,"Q1 2015"
"Total emergency department presentations","Australia","Per cent","1","2016",25,2016,"Q1 2016"
"Total emergency department presentations","Australia","Per cent","1","2017",25,2017,"Q1 2017"
"Total emergency department presentations","Australia","Per cent","1","2018",25,2018,"Q1 2018"
"Total emergency department presentations","Australia","Per cent","1","2019",26,2019,"Q1 2019"
"Total emergency department presentations","Australia","Per cent","1","2020",26,2020,"Q1 2020"
"Total emergency department presentations","Australia","Per cent","1","2021",24,2021,"Q1 2021"
"Total emergency department presentations","Australia","Per cent","2","2014",25,2014.25,"Q2 2014"
"Total emergency department presentations","Australia","Per cent","2","2015",25,2015.25,"Q2 2015"
"Total emergency department presentations","Australia","Per cent","2","2016",25,2016.25,"Q2 2016"
"Total emergency department presentations","Australia","Per cent","2","2017",24,2017.25,"Q2 2017"
"Total emergency department presentations","Australia","Per cent","2","2018",25,2018.25,"Q2 2018"
"Total emergency department presentations","Australia","Per cent","2","2019",21,2019.25,"Q2 2019"
"Total emergency department presentations","Australia","Per cent","2","2020",26,2020.25,"Q2 2020"
"Total emergency department presentations","Australia","Per cent","2","2021",25,2021.25,"Q2 2021"
"Total emergency department presentations","New South Wales","Number","3","2014",660258,2014.5,"Q3 2014"
"Total emergency department presentations","New South Wales","Number","3","2015",677784,2015.5,"Q3 2015"
"Total emergency department presentations","New South Wales","Number","3","2016",678976,2016.5,"Q3 2016"
"Total emergency department presentations","New South Wales","Number","3","2017",742079,2017.5,"Q3 2017"
"Total emergency department presentations","New South Wales","Number","3","2018",717231,2018.5,"Q3 2018"
"Total emergency department presentations","New South Wales","Number","3","2019",764068,2019.5,"Q3 2019"
"Total emergency department presentations","New South Wales","Number","3","2020",710856,2020.5,"Q3 2020"
"Total emergency department presentations","New South Wales","Number","3","2021",719103,2021.5,"Q3 2021"
"Total emergency department presentations","New South Wales","Number","4","2014",687482,2014.75,"Q4 2014"
"Total emergency department presentations","New South Wales","Number","4","2015",694326,2015.75,"Q4 2015"
"Total emergency department presentations","New South Wales","Number","4","2016",712280,2016.75,"Q4 2016"
"Total emergency department presentations","New South Wales","Number","4","2017",725360,2017.75,"Q4 2017"
"Total emergency department presentations","New South Wales","Number","4","2018",749407,2018.75,"Q4 2018"
"Total emergency department presentations","New South Wales","Number","4","2019",776477,2019.75,"Q4 2019"
"Total emergency department presentations","New South Wales","Number","4","2020",792590,2020.75,"Q4 2020"
"Total emergency department presentations","New South Wales","Number","4","2021",764161,2021.75,"Q4 2021"
"Total emergency department presentations","New South Wales","Number","1","2014",677031,2014,"Q1 2014"
"Total emergency department presentations","New South Wales","Number","1","2015",699680,2015,"Q1 2015"
"Total emergency department presentations","New South Wales","Number","1","2016",703662,2016,"Q1 2016"
"Total emergency department presentations","New South Wales","Number","1","2017",714594,2017,"Q1 2017"
"Total emergency department presentations","New South Wales","Number","1","2018",755938,2018,"Q1 2018"
"Total emergency department presentations","New South Wales","Number","1","2019",764636,2019,"Q1 2019"
"Total emergency department presentations","New South Wales","Number","1","2020",758491,2020,"Q1 2020"
"Total emergency department presentations","New South Wales","Number","1","2021",734917,2021,"Q1 2021"
"Total emergency department presentations","New South Wales","Number","2","2014",656695,2014.25,"Q2 2014"
"Total emergency department presentations","New South Wales","Number","2","2015",661730,2015.25,"Q2 2015"
