"","Type","Location","Count","Quarter","Year","Value","Time_Number","Time_String"
"323","Mental health-related presentations","South Australia","Number","3","2016",5916,2016.5,"Q3 2016"
"324","Mental health-related presentations","South Australia","Number","3","2017",6016,2017.5,"Q3 2017"
"325","Mental health-related presentations","South Australia","Number","3","2018",5682,2018.5,"Q3 2018"
"326","Mental health-related presentations","South Australia","Number","3","2019",6564,2019.5,"Q3 2019"
"327","Mental health-related presentations","South Australia","Number","3","2020",7308,2020.5,"Q3 2020"
"328","Mental health-related presentations","South Australia","Number","3","2021",6106,2021.5,"Q3 2021"
"329","Mental health-related presentations","South Australia","Number","4","2014",5464,2014.75,"Q4 2014"
"330","Mental health-related presentations","South Australia","Number","4","2015",5761,2015.75,"Q4 2015"
"331","Mental health-related presentations","South Australia","Number","4","2016",6001,2016.75,"Q4 2016"
"332","Mental health-related presentations","South Australia","Number","4","2017",6176,2017.75,"Q4 2017"
"333","Mental health-related presentations","South Australia","Number","4","2018",5930,2018.75,"Q4 2018"
"334","Mental health-related presentations","South Australia","Number","4","2019",6532,2019.75,"Q4 2019"
"335","Mental health-related presentations","South Australia","Number","4","2020",7018,2020.75,"Q4 2020"
"336","Mental health-related presentations","South Australia","Number","4","2021",5691,2021.75,"Q4 2021"
"337","Mental health-related presentations","South Australia","Number","1","2014",5397,2014,"Q1 2014"
"338","Mental health-related presentations","South Australia","Number","1","2015",6143,2015,"Q1 2015"
"339","Mental health-related presentations","South Australia","Number","1","2016",5868,2016,"Q1 2016"
"340","Mental health-related presentations","South Australia","Number","1","2017",6274,2017,"Q1 2017"
"341","Mental health-related presentations","South Australia","Number","1","2018",6235,2018,"Q1 2018"
"342","Mental health-related presentations","South Australia","Number","1","2019",6898,2019,"Q1 2019"
"343","Mental health-related presentations","South Australia","Number","1","2020",6878,2020,"Q1 2020"
"344","Mental health-related presentations","South Australia","Number","1","2021",5505,2021,"Q1 2021"
"345","Mental health-related presentations","South Australia","Number","2","2014",5262,2014.25,"Q2 2014"
"346","Mental health-related presentations","South Australia","Number","2","2015",5728,2015.25,"Q2 2015"
"347","Mental health-related presentations","South Australia","Number","2","2016",5811,2016.25,"Q2 2016"
"348","Mental health-related presentations","South Australia","Number","2","2017",5884,2017.25,"Q2 2017"
"349","Mental health-related presentations","South Australia","Number","2","2018",5892,2018.25,"Q2 2018"
"350","Mental health-related presentations","South Australia","Number","2","2019",6755,2019.25,"Q2 2019"
"351","Mental health-related presentations","South Australia","Number","2","2020",6263,2020.25,"Q2 2020"
"352","Mental health-related presentations","South Australia","Number","2","2021",5112,2021.25,"Q2 2021"
"353","Mental health-related presentations","South Australia","Per cent","3","2014",24,2014.5,"Q3 2014"
"354","Mental health-related presentations","South Australia","Per cent","3","2015",23,2015.5,"Q3 2015"
"355","Mental health-related presentations","South Australia","Per cent","3","2016",25,2016.5,"Q3 2016"
"356","Mental health-related presentations","South Australia","Per cent","3","2017",25,2017.5,"Q3 2017"
"357","Mental health-related presentations","South Australia","Per cent","3","2018",24,2018.5,"Q3 2018"
"358","Mental health-related presentations","South Australia","Per cent","3","2019",25,2019.5,"Q3 2019"
"359","Mental health-related presentations","South Australia","Per cent","3","2020",27,2020.5,"Q3 2020"
"360","Mental health-related presentations","South Australia","Per cent","3","2021",27,2021.5,"Q3 2021"
"361","Mental health-related presentations","South Australia","Per cent","4","2014",26,2014.75,"Q4 2014"
"362","Mental health-related presentations","South Australia","Per cent","4","2015",25,2015.75,"Q4 2015"
"363","Mental health-related presentations","South Australia","Per cent","4","2016",25,2016.75,"Q4 2016"
"364","Mental health-related presentations","South Australia","Per cent","4","2017",25,2017.75,"Q4 2017"
"365","Mental health-related presentations","South Australia","Per cent","4","2018",25,2018.75,"Q4 2018"
"366","Mental health-related presentations","South Australia","Per cent","4","2019",24,2019.75,"Q4 2019"
"367","Mental health-related presentations","South Australia","Per cent","4","2020",26,2020.75,"Q4 2020"
"368","Mental health-related presentations","South Australia","Per cent","4","2021",25,2021.75,"Q4 2021"
"369","Mental health-related presentations","South Australia","Per cent","1","2014",26,2014,"Q1 2014"
"370","Mental health-related presentations","South Australia","Per cent","1","2015",27,2015,"Q1 2015"
"371","Mental health-related presentations","South Australia","Per cent","1","2016",25,2016,"Q1 2016"
"372","Mental health-related presentations","South Australia","Per cent","1","2017",26,2017,"Q1 2017"
"373","Mental health-related presentations","South Australia","Per cent","1","2018",26,2018,"Q1 2018"
"374","Mental health-related presentations","South Australia","Per cent","1","2019",26,2019,"Q1 2019"
"375","Mental health-related presentations","South Australia","Per cent","1","2020",25,2020,"Q1 2020"
"376","Mental health-related presentations","South Australia","Per cent","1","2021",25,2021,"Q1 2021"
"377","Mental health-related presentations","South Australia","Per cent","2","2014",25,2014.25,"Q2 2014"
"378","Mental health-related presentations","South Australia","Per cent","2","2015",25,2015.25,"Q2 2015"
"379","Mental health-related presentations","South Australia","Per cent","2","2016",25,2016.25,"Q2 2016"
"380","Mental health-related presentations","South Australia","Per cent","2","2017",24,2017.25,"Q2 2017"
"381","Mental health-related presentations","South Australia","Per cent","2","2018",25,2018.25,"Q2 2018"
"382","Mental health-related presentations","South Australia","Per cent","2","2019",25,2019.25,"Q2 2019"
"383","Mental health-related presentations","South Australia","Per cent","2","2020",23,2020.25,"Q2 2020"
"384","Mental health-related presentations","South Australia","Per cent","2","2021",23,2021.25,"Q2 2021"
"385","Mental health-related presentations","Tasmania","Number","3","2014",1338,2014.5,"Q3 2014"
"386","Mental health-related presentations","Tasmania","Number","3","2015",1347,2015.5,"Q3 2015"
"387","Mental health-related presentations","Tasmania","Number","3","2016",1614,2016.5,"Q3 2016"
"388","Mental health-related presentations","Tasmania","Number","3","2017",1453,2017.5,"Q3 2017"
"389","Mental health-related presentations","Tasmania","Number","3","2018",1515,2018.5,"Q3 2018"
"390","Mental health-related presentations","Tasmania","Number","3","2019",1584,2019.5,"Q3 2019"
"391","Mental health-related presentations","Tasmania","Number","3","2020",1609,2020.5,"Q3 2020"
"392","Mental health-related presentations","Tasmania","Number","3","2021",1489,2021.5,"Q3 2021"
"393","Mental health-related presentations","Tasmania","Number","4","2014",1402,2014.75,"Q4 2014"
"394","Mental health-related presentations","Tasmania","Number","4","2015",1494,2015.75,"Q4 2015"
"395","Mental health-related presentations","Tasmania","Number","4","2016",1556,2016.75,"Q4 2016"
"396","Mental health-related presentations","Tasmania","Number","4","2017",1508,2017.75,"Q4 2017"
"397","Mental health-related presentations","Tasmania","Number","4","2018",1488,2018.75,"Q4 2018"
"398","Mental health-related presentations","Tasmania","Number","4","2019",1524,2019.75,"Q4 2019"
"399","Mental health-related presentations","Tasmania","Number","4","2020",1531,2020.75,"Q4 2020"
"400","Mental health-related presentations","Tasmania","Number","4","2021",1445,2021.75,"Q4 2021"
"401","Mental health-related presentations","Tasmania","Number","1","2014",1388,2014,"Q1 2014"
"402","Mental health-related presentations","Tasmania","Number","1","2015",1570,2015,"Q1 2015"
"403","Mental health-related presentations","Tasmania","Number","1","2016",1487,2016,"Q1 2016"
"404","Mental health-related presentations","Tasmania","Number","1","2017",1499,2017,"Q1 2017"
"405","Mental health-related presentations","Tasmania","Number","1","2018",1409,2018,"Q1 2018"
"406","Mental health-related presentations","Tasmania","Number","1","2019",1575,2019,"Q1 2019"
"407","Mental health-related presentations","Tasmania","Number","1","2020",1516,2020,"Q1 2020"
"408","Mental health-related presentations","Tasmania","Number","1","2021",1489,2021,"Q1 2021"
"409","Mental health-related presentations","Tasmania","Number","2","2014",1356,2014.25,"Q2 2014"
"410","Mental health-related presentations","Tasmania","Number","2","2015",1511,2015.25,"Q2 2015"
"411","Mental health-related presentations","Tasmania","Number","2","2016",1465,2016.25,"Q2 2016"
"412","Mental health-related presentations","Tasmania","Number","2","2017",1357,2017.25,"Q2 2017"
"413","Mental health-related presentations","Tasmania","Number","2","2018",1497,2018.25,"Q2 2018"
"414","Mental health-related presentations","Tasmania","Number","2","2019",1405,2019.25,"Q2 2019"
"415","Mental health-related presentations","Tasmania","Number","2","2020",1466,2020.25,"Q2 2020"
"416","Mental health-related presentations","Tasmania","Number","2","2021",1401,2021.25,"Q2 2021"
"417","Mental health-related presentations","Tasmania","Per cent","3","2014",24,2014.5,"Q3 2014"
"418","Mental health-related presentations","Tasmania","Per cent","3","2015",23,2015.5,"Q3 2015"
"419","Mental health-related presentations","Tasmania","Per cent","3","2016",26,2016.5,"Q3 2016"
"420","Mental health-related presentations","Tasmania","Per cent","3","2017",25,2017.5,"Q3 2017"
"421","Mental health-related presentations","Tasmania","Per cent","3","2018",26,2018.5,"Q3 2018"
"422","Mental health-related presentations","Tasmania","Per cent","3","2019",26,2019.5,"Q3 2019"
"423","Mental health-related presentations","Tasmania","Per cent","3","2020",26,2020.5,"Q3 2020"
"424","Mental health-related presentations","Tasmania","Per cent","3","2021",26,2021.5,"Q3 2021"
"425","Mental health-related presentations","Tasmania","Per cent","4","2014",26,2014.75,"Q4 2014"
"426","Mental health-related presentations","Tasmania","Per cent","4","2015",25,2015.75,"Q4 2015"
"427","Mental health-related presentations","Tasmania","Per cent","4","2016",25,2016.75,"Q4 2016"
"428","Mental health-related presentations","Tasmania","Per cent","4","2017",26,2017.75,"Q4 2017"
"429","Mental health-related presentations","Tasmania","Per cent","4","2018",25,2018.75,"Q4 2018"
"430","Mental health-related presentations","Tasmania","Per cent","4","2019",25,2019.75,"Q4 2019"
"431","Mental health-related presentations","Tasmania","Per cent","4","2020",25,2020.75,"Q4 2020"
"432","Mental health-related presentations","Tasmania","Per cent","4","2021",25,2021.75,"Q4 2021"
"433","Mental health-related presentations","Tasmania","Per cent","1","2014",25,2014,"Q1 2014"
"434","Mental health-related presentations","Tasmania","Per cent","1","2015",27,2015,"Q1 2015"
"435","Mental health-related presentations","Tasmania","Per cent","1","2016",24,2016,"Q1 2016"
"436","Mental health-related presentations","Tasmania","Per cent","1","2017",26,2017,"Q1 2017"
"437","Mental health-related presentations","Tasmania","Per cent","1","2018",24,2018,"Q1 2018"
"438","Mental health-related presentations","Tasmania","Per cent","1","2019",26,2019,"Q1 2019"
"439","Mental health-related presentations","Tasmania","Per cent","1","2020",25,2020,"Q1 2020"
"440","Mental health-related presentations","Tasmania","Per cent","1","2021",26,2021,"Q1 2021"
"441","Mental health-related presentations","Tasmania","Per cent","2","2014",25,2014.25,"Q2 2014"
"442","Mental health-related presentations","Tasmania","Per cent","2","2015",26,2015.25,"Q2 2015"
"443","Mental health-related presentations","Tasmania","Per cent","2","2016",24,2016.25,"Q2 2016"
"444","Mental health-related presentations","Tasmania","Per cent","2","2017",23,2017.25,"Q2 2017"
"445","Mental health-related presentations","Tasmania","Per cent","2","2018",25,2018.25,"Q2 2018"
"446","Mental health-related presentations","Tasmania","Per cent","2","2019",23,2019.25,"Q2 2019"
"447","Mental health-related presentations","Tasmania","Per cent","2","2020",24,2020.25,"Q2 2020"
"448","Mental health-related presentations","Tasmania","Per cent","2","2021",24,2021.25,"Q2 2021"
"449","Mental health-related presentations","Australian Capital Territory","Number","3","2014",931,2014.5,"Q3 2014"
"450","Mental health-related presentations","Australian Capital Territory","Number","3","2015",965,2015.5,"Q3 2015"
"451","Mental health-related presentations","Australian Capital Territory","Number","3","2016",1161,2016.5,"Q3 2016"
"452","Mental health-related presentations","Australian Capital Territory","Number","3","2017",1081,2017.5,"Q3 2017"
"453","Mental health-related presentations","Australian Capital Territory","Number","3","2018",1107,2018.5,"Q3 2018"
"454","Mental health-related presentations","Australian Capital Territory","Number","3","2019",1204,2019.5,"Q3 2019"
"455","Mental health-related presentations","Australian Capital Territory","Number","3","2020",1427,2020.5,"Q3 2020"
"456","Mental health-related presentations","Australian Capital Territory","Number","3","2021",1162,2021.5,"Q3 2021"
"457","Mental health-related presentations","Australian Capital Territory","Number","4","2014",1040,2014.75,"Q4 2014"
"458","Mental health-related presentations","Australian Capital Territory","Number","4","2015",1071,2015.75,"Q4 2015"
"459","Mental health-related presentations","Australian Capital Territory","Number","4","2016",1232,2016.75,"Q4 2016"
"460","Mental health-related presentations","Australian Capital Territory","Number","4","2017",1222,2017.75,"Q4 2017"
"461","Mental health-related presentations","Australian Capital Territory","Number","4","2018",1215,2018.75,"Q4 2018"
"462","Mental health-related presentations","Australian Capital Territory","Number","4","2019",1465,2019.75,"Q4 2019"
"463","Mental health-related presentations","Australian Capital Territory","Number","4","2020",1350,2020.75,"Q4 2020"
"464","Mental health-related presentations","Australian Capital Territory","Number","4","2021",1229,2021.75,"Q4 2021"
"465","Mental health-related presentations","Australian Capital Territory","Number","1","2014",980,2014,"Q1 2014"
"466","Mental health-related presentations","Australian Capital Territory","Number","1","2015",1087,2015,"Q1 2015"
"467","Mental health-related presentations","Australian Capital Territory","Number","1","2016",1211,2016,"Q1 2016"
"468","Mental health-related presentations","Australian Capital Territory","Number","1","2017",1169,2017,"Q1 2017"
"469","Mental health-related presentations","Australian Capital Territory","Number","1","2018",1146,2018,"Q1 2018"
"470","Mental health-related presentations","Australian Capital Territory","Number","1","2019",1338,2019,"Q1 2019"
"471","Mental health-related presentations","Australian Capital Territory","Number","1","2020",1300,2020,"Q1 2020"
"472","Mental health-related presentations","Australian Capital Territory","Number","1","2021",1209,2021,"Q1 2021"
"473","Mental health-related presentations","Australian Capital Territory","Number","2","2014",1007,2014.25,"Q2 2014"
"474","Mental health-related presentations","Australian Capital Territory","Number","2","2015",1115,2015.25,"Q2 2015"
"475","Mental health-related presentations","Australian Capital Territory","Number","2","2016",1139,2016.25,"Q2 2016"
"476","Mental health-related presentations","Australian Capital Territory","Number","2","2017",1154,2017.25,"Q2 2017"
"477","Mental health-related presentations","Australian Capital Territory","Number","2","2018",1182,2018.25,"Q2 2018"
"478","Mental health-related presentations","Australian Capital Territory","Number","2","2019",1276,2019.25,"Q2 2019"
"479","Mental health-related presentations","Australian Capital Territory","Number","2","2020",1334,2020.25,"Q2 2020"
"480","Mental health-related presentations","Australian Capital Territory","Number","2","2021",1063,2021.25,"Q2 2021"
"481","Mental health-related presentations","Australian Capital Territory","Per cent","3","2014",24,2014.5,"Q3 2014"
"482","Mental health-related presentations","Australian Capital Territory","Per cent","3","2015",23,2015.5,"Q3 2015"
"483","Mental health-related presentations","Australian Capital Territory","Per cent","3","2016",24,2016.5,"Q3 2016"
"484","Mental health-related presentations","Australian Capital Territory","Per cent","3","2017",23,2017.5,"Q3 2017"
"485","Mental health-related presentations","Australian Capital Territory","Per cent","3","2018",24,2018.5,"Q3 2018"
"486","Mental health-related presentations","Australian Capital Territory","Per cent","3","2019",23,2019.5,"Q3 2019"
"487","Mental health-related presentations","Australian Capital Territory","Per cent","3","2020",26,2020.5,"Q3 2020"
"488","Mental health-related presentations","Australian Capital Territory","Per cent","3","2021",25,2021.5,"Q3 2021"
"489","Mental health-related presentations","Australian Capital Territory","Per cent","4","2014",26,2014.75,"Q4 2014"
"490","Mental health-related presentations","Australian Capital Territory","Per cent","4","2015",25,2015.75,"Q4 2015"
"491","Mental health-related presentations","Australian Capital Territory","Per cent","4","2016",26,2016.75,"Q4 2016"
"492","Mental health-related presentations","Australian Capital Territory","Per cent","4","2017",26,2017.75,"Q4 2017"
"493","Mental health-related presentations","Australian Capital Territory","Per cent","4","2018",26,2018.75,"Q4 2018"
"494","Mental health-related presentations","Australian Capital Territory","Per cent","4","2019",28,2019.75,"Q4 2019"
"495","Mental health-related presentations","Australian Capital Territory","Per cent","4","2020",25,2020.75,"Q4 2020"
"496","Mental health-related presentations","Australian Capital Territory","Per cent","4","2021",26,2021.75,"Q4 2021"
"497","Mental health-related presentations","Australian Capital Territory","Per cent","1","2014",25,2014,"Q1 2014"
"498","Mental health-related presentations","Australian Capital Territory","Per cent","1","2015",26,2015,"Q1 2015"
"499","Mental health-related presentations","Australian Capital Territory","Per cent","1","2016",26,2016,"Q1 2016"
"500","Mental health-related presentations","Australian Capital Territory","Per cent","1","2017",25,2017,"Q1 2017"
"501","Mental health-related presentations","Australian Capital Territory","Per cent","1","2018",25,2018,"Q1 2018"
"502","Mental health-related presentations","Australian Capital Territory","Per cent","1","2019",25,2019,"Q1 2019"
"503","Mental health-related presentations","Australian Capital Territory","Per cent","1","2020",24,2020,"Q1 2020"
"504","Mental health-related presentations","Australian Capital Territory","Per cent","1","2021",26,2021,"Q1 2021"
"505","Mental health-related presentations","Australian Capital Territory","Per cent","2","2014",25,2014.25,"Q2 2014"
"506","Mental health-related presentations","Australian Capital Territory","Per cent","2","2015",26,2015.25,"Q2 2015"
"507","Mental health-related presentations","Australian Capital Territory","Per cent","2","2016",24,2016.25,"Q2 2016"
"508","Mental health-related presentations","Australian Capital Territory","Per cent","2","2017",25,2017.25,"Q2 2017"
"509","Mental health-related presentations","Australian Capital Territory","Per cent","2","2018",25,2018.25,"Q2 2018"
"510","Mental health-related presentations","Australian Capital Territory","Per cent","2","2019",24,2019.25,"Q2 2019"
"511","Mental health-related presentations","Australian Capital Territory","Per cent","2","2020",25,2020.25,"Q2 2020"
"512","Mental health-related presentations","Australian Capital Territory","Per cent","2","2021",23,2021.25,"Q2 2021"
"513","Mental health-related presentations","Northern Territory","Number","3","2014",1355,2014.5,"Q3 2014"
"514","Mental health-related presentations","Northern Territory","Number","3","2015",1725,2015.5,"Q3 2015"
"515","Mental health-related presentations","Northern Territory","Number","3","2016",1611,2016.5,"Q3 2016"
"516","Mental health-related presentations","Northern Territory","Number","3","2017",1548,2017.5,"Q3 2017"
"517","Mental health-related presentations","Northern Territory","Number","3","2018",1724,2018.5,"Q3 2018"
"518","Mental health-related presentations","Northern Territory","Number","3","2019",1606,2019.5,"Q3 2019"
"519","Mental health-related presentations","Northern Territory","Number","3","2020",1969,2020.5,"Q3 2020"
"520","Mental health-related presentations","Northern Territory","Number","3","2021",1909,2021.5,"Q3 2021"
"521","Mental health-related presentations","Northern Territory","Number","4","2014",1660,2014.75,"Q4 2014"
"522","Mental health-related presentations","Northern Territory","Number","4","2015",1763,2015.75,"Q4 2015"
"523","Mental health-related presentations","Northern Territory","Number","4","2016",1719,2016.75,"Q4 2016"
"524","Mental health-related presentations","Northern Territory","Number","4","2017",1736,2017.75,"Q4 2017"
"525","Mental health-related presentations","Northern Territory","Number","4","2018",1703,2018.75,"Q4 2018"
"526","Mental health-related presentations","Northern Territory","Number","4","2019",1901,2019.75,"Q4 2019"
"527","Mental health-related presentations","Northern Territory","Number","4","2020",2005,2020.75,"Q4 2020"
"528","Mental health-related presentations","Northern Territory","Number","4","2021",2034,2021.75,"Q4 2021"
"529","Mental health-related presentations","Northern Territory","Number","1","2014",1581,2014,"Q1 2014"
"530","Mental health-related presentations","Northern Territory","Number","1","2015",1553,2015,"Q1 2015"
"531","Mental health-related presentations","Northern Territory","Number","1","2016",1653,2016,"Q1 2016"
"532","Mental health-related presentations","Northern Territory","Number","1","2017",1883,2017,"Q1 2017"
"533","Mental health-related presentations","Northern Territory","Number","1","2018",1687,2018,"Q1 2018"
"534","Mental health-related presentations","Northern Territory","Number","1","2019",1884,2019,"Q1 2019"
"535","Mental health-related presentations","Northern Territory","Number","1","2020",1794,2020,"Q1 2020"
"536","Mental health-related presentations","Northern Territory","Number","1","2021",1548,2021,"Q1 2021"
"537","Mental health-related presentations","Northern Territory","Number","2","2014",1468,2014.25,"Q2 2014"
"538","Mental health-related presentations","Northern Territory","Number","2","2015",1445,2015.25,"Q2 2015"
"539","Mental health-related presentations","Northern Territory","Number","2","2016",1557,2016.25,"Q2 2016"
"540","Mental health-related presentations","Northern Territory","Number","2","2017",1752,2017.25,"Q2 2017"
"541","Mental health-related presentations","Northern Territory","Number","2","2018",1572,2018.25,"Q2 2018"
"542","Mental health-related presentations","Northern Territory","Number","2","2019",1598,2019.25,"Q2 2019"
"543","Mental health-related presentations","Northern Territory","Number","2","2020",1783,2020.25,"Q2 2020"
"544","Mental health-related presentations","Northern Territory","Number","2","2021",1529,2021.25,"Q2 2021"
"545","Mental health-related presentations","Northern Territory","Per cent","3","2014",22,2014.5,"Q3 2014"
"546","Mental health-related presentations","Northern Territory","Per cent","3","2015",27,2015.5,"Q3 2015"
"547","Mental health-related presentations","Northern Territory","Per cent","3","2016",25,2016.5,"Q3 2016"
"548","Mental health-related presentations","Northern Territory","Per cent","3","2017",22,2017.5,"Q3 2017"
"549","Mental health-related presentations","Northern Territory","Per cent","3","2018",26,2018.5,"Q3 2018"
"550","Mental health-related presentations","Northern Territory","Per cent","3","2019",23,2019.5,"Q3 2019"
"551","Mental health-related presentations","Northern Territory","Per cent","3","2020",26,2020.5,"Q3 2020"
"552","Mental health-related presentations","Northern Territory","Per cent","3","2021",27,2021.5,"Q3 2021"
"553","Mental health-related presentations","Northern Territory","Per cent","4","2014",27,2014.75,"Q4 2014"
"554","Mental health-related presentations","Northern Territory","Per cent","4","2015",27,2015.75,"Q4 2015"
"555","Mental health-related presentations","Northern Territory","Per cent","4","2016",26,2016.75,"Q4 2016"
"556","Mental health-related presentations","Northern Territory","Per cent","4","2017",25,2017.75,"Q4 2017"
"557","Mental health-related presentations","Northern Territory","Per cent","4","2018",25,2018.75,"Q4 2018"
"558","Mental health-related presentations","Northern Territory","Per cent","4","2019",27,2019.75,"Q4 2019"
"559","Mental health-related presentations","Northern Territory","Per cent","4","2020",27,2020.75,"Q4 2020"
"560","Mental health-related presentations","Northern Territory","Per cent","4","2021",29,2021.75,"Q4 2021"
"561","Mental health-related presentations","Northern Territory","Per cent","1","2014",26,2014,"Q1 2014"
"562","Mental health-related presentations","Northern Territory","Per cent","1","2015",24,2015,"Q1 2015"
"563","Mental health-related presentations","Northern Territory","Per cent","1","2016",25,2016,"Q1 2016"
"564","Mental health-related presentations","Northern Territory","Per cent","1","2017",27,2017,"Q1 2017"
"565","Mental health-related presentations","Northern Territory","Per cent","1","2018",25,2018,"Q1 2018"
"566","Mental health-related presentations","Northern Territory","Per cent","1","2019",27,2019,"Q1 2019"
"567","Mental health-related presentations","Northern Territory","Per cent","1","2020",24,2020,"Q1 2020"
"568","Mental health-related presentations","Northern Territory","Per cent","1","2021",22,2021,"Q1 2021"
"569","Mental health-related presentations","Northern Territory","Per cent","2","2014",24,2014.25,"Q2 2014"
"570","Mental health-related presentations","Northern Territory","Per cent","2","2015",22,2015.25,"Q2 2015"
"571","Mental health-related presentations","Northern Territory","Per cent","2","2016",24,2016.25,"Q2 2016"
"572","Mental health-related presentations","Northern Territory","Per cent","2","2017",25,2017.25,"Q2 2017"
"573","Mental health-related presentations","Northern Territory","Per cent","2","2018",24,2018.25,"Q2 2018"
"574","Mental health-related presentations","Northern Territory","Per cent","2","2019",23,2019.25,"Q2 2019"
"575","Mental health-related presentations","Northern Territory","Per cent","2","2020",24,2020.25,"Q2 2020"
"576","Mental health-related presentations","Northern Territory","Per cent","2","2021",22,2021.25,"Q2 2021"
"577","Total emergency department presentations","Australia","Number","3","2014",1829376,2014.5,"Q3 2014"
"578","Total emergency department presentations","Australia","Number","3","2015",1887621,2015.5,"Q3 2015"
"579","Total emergency department presentations","Australia","Number","3","2016",1904317,2016.5,"Q3 2016"
"580","Total emergency department presentations","Australia","Number","3","2017",2049256,2017.5,"Q3 2017"
"581","Total emergency department presentations","Australia","Number","3","2018",2029046,2018.5,"Q3 2018"
"582","Total emergency department presentations","Australia","Number","3","2019",2163596,2019.5,"Q3 2019"
"583","Total emergency department presentations","Australia","Number","3","2020",2031954,2020.5,"Q3 2020"
"584","Total emergency department presentations","Australia","Number","3","2021",2182731,2021.5,"Q3 2021"
"585","Total emergency department presentations","Australia","Number","4","2014",1872039,2014.75,"Q4 2014"
"586","Total emergency department presentations","Australia","Number","4","2015",1910170,2015.75,"Q4 2015"
"587","Total emergency department presentations","Australia","Number","4","2016",1972006,2016.75,"Q4 2016"
"588","Total emergency department presentations","Australia","Number","4","2017",2024210,2017.75,"Q4 2017"
"589","Total emergency department presentations","Australia","Number","4","2018",2100493,2018.75,"Q4 2018"
"590","Total emergency department presentations","Australia","Number","4","2019",2175556,2019.75,"Q4 2019"
"591","Total emergency department presentations","Australia","Number","4","2020",2238656,2020.75,"Q4 2020"
"592","Total emergency department presentations","Australia","Number","4","2021",2259736,2021.75,"Q4 2021"
"593","Total emergency department presentations","Australia","Number","1","2014",1844641,2014,"Q1 2014"
"594","Total emergency department presentations","Australia","Number","1","2015",1927519,2015,"Q1 2015"
"595","Total emergency department presentations","Australia","Number","1","2016",1942512,2016,"Q1 2016"
"596","Total emergency department presentations","Australia","Number","1","2017",1984020,2017,"Q1 2017"
"597","Total emergency department presentations","Australia","Number","1","2018",2100183,2018,"Q1 2018"
"598","Total emergency department presentations","Australia","Number","1","2019",2145235,2019,"Q1 2019"
"599","Total emergency department presentations","Australia","Number","1","2020",2250811,2020,"Q1 2020"
"600","Total emergency department presentations","Australia","Number","1","2021",2119460,2021,"Q1 2021"
"601","Total emergency department presentations","Australia","Number","2","2014",1820386,2014.25,"Q2 2014"
"602","Total emergency department presentations","Australia","Number","2","2015",1875907,2015.25,"Q2 2015"
"603","Total emergency department presentations","Australia","Number","2","2016",1936771,2016.25,"Q2 2016"
"604","Total emergency department presentations","Australia","Number","2","2017",1960006,2017.25,"Q2 2017"
"605","Total emergency department presentations","Australia","Number","2","2018",2122470,2018.25,"Q2 2018"
"606","Total emergency department presentations","Australia","Number","2","2019",1751772,2019.25,"Q2 2019"
"607","Total emergency department presentations","Australia","Number","2","2020",2286936,2020.25,"Q2 2020"
"608","Total emergency department presentations","Australia","Number","2","2021",2227950,2021.25,"Q2 2021"
"609","Total emergency department presentations","Australia","Per cent","3","2014",25,2014.5,"Q3 2014"
"610","Total emergency department presentations","Australia","Per cent","3","2015",25,2015.5,"Q3 2015"
"611","Total emergency department presentations","Australia","Per cent","3","2016",25,2016.5,"Q3 2016"
"612","Total emergency department presentations","Australia","Per cent","3","2017",26,2017.5,"Q3 2017"
"613","Total emergency department presentations","Australia","Per cent","3","2018",24,2018.5,"Q3 2018"
"614","Total emergency department presentations","Australia","Per cent","3","2019",26,2019.5,"Q3 2019"
"615","Total emergency department presentations","Australia","Per cent","3","2020",23,2020.5,"Q3 2020"
"616","Total emergency department presentations","Australia","Per cent","3","2021",25,2021.5,"Q3 2021"
"617","Total emergency department presentations","Australia","Per cent","4","2014",25,2014.75,"Q4 2014"
"618","Total emergency department presentations","Australia","Per cent","4","2015",25,2015.75,"Q4 2015"
"619","Total emergency department presentations","Australia","Per cent","4","2016",25,2016.75,"Q4 2016"
"620","Total emergency department presentations","Australia","Per cent","4","2017",25,2017.75,"Q4 2017"
"621","Total emergency department presentations","Australia","Per cent","4","2018",25,2018.75,"Q4 2018"
"622","Total emergency department presentations","Australia","Per cent","4","2019",26,2019.75,"Q4 2019"
"623","Total emergency department presentations","Australia","Per cent","4","2020",25,2020.75,"Q4 2020"
"624","Total emergency department presentations","Australia","Per cent","4","2021",26,2021.75,"Q4 2021"
"625","Total emergency department presentations","Australia","Per cent","1","2014",25,2014,"Q1 2014"
"626","Total emergency department presentations","Australia","Per cent","1","2015",25,2015,"Q1 2015"
"627","Total emergency department presentations","Australia","Per cent","1","2016",25,2016,"Q1 2016"
"628","Total emergency department presentations","Australia","Per cent","1","2017",25,2017,"Q1 2017"
"629","Total emergency department presentations","Australia","Per cent","1","2018",25,2018,"Q1 2018"
"630","Total emergency department presentations","Australia","Per cent","1","2019",26,2019,"Q1 2019"
"631","Total emergency department presentations","Australia","Per cent","1","2020",26,2020,"Q1 2020"
"632","Total emergency department presentations","Australia","Per cent","1","2021",24,2021,"Q1 2021"
"633","Total emergency department presentations","Australia","Per cent","2","2014",25,2014.25,"Q2 2014"
"634","Total emergency department presentations","Australia","Per cent","2","2015",25,2015.25,"Q2 2015"
"635","Total emergency department presentations","Australia","Per cent","2","2016",25,2016.25,"Q2 2016"
